domain,network,provider_type,video_provider,email
4kpornvideos.tv,UnknownNetwork,external_cdn,4kpornvideos.tv,
ahindian.com,UnknownNetwork,api_stream,beacon.min.js,
allsex.xxx,UnknownNetwork,external_cdn,allsex.xxx,
antarvasna3.com,IndianPornEmpire,self_or_private_cdn,antarvasna3.com,
antarvasnabf.com,IndianPornEmpire,embedded_player,antarvasnabf.com,
anyscr.com,UnknownNetwork,api_stream,anyscr.com,
auntymaza.watch,UnknownNetwork,external_cdn,dtscout.com,
babeporn.org,UnknownNetwork,external_cdn,babeporn.org,
bobosco.com,UnknownNetwork,external_cdn,bobosco.com,
desi-xnxx.pro,UnknownNetwork,embedded_player,desi-xnxx.pro,
desibhabhi.org,UnknownNetwork,external_cdn,sacdnssedge.com,
desibp.cam,UnknownNetwork,embedded_player,.,
desichudai.best,UnknownNetwork,embedded_player,desichudai.best,
desihotmms.net,UnknownNetwork,external_cdn,desihotmms.net,
desii49.com,UnknownNetwork,embedded_player,ltdcdn.net,
desikahani2.net,IndianPornEmpire,external_cdn,sacdnssedge.com,
desileak.xyz,UnknownNetwork,embedded_player,desileak.xyz,
desileak49.com,UnknownNetwork,external_cdn,desileak49.com,
desimms2.site,IndianPornEmpire,external_cdn,desimms2.site,
desimmsvideo.com,UnknownNetwork,external_cdn,desimmsvideo.com,
desiporn.xxx,UnknownNetwork,api_stream,go.indiancamxxx.com,
desipornlist.com,UnknownNetwork,external_cdn,pornhub.com,
desirusx.com,UnknownNetwork,external_cdn,desirusx.com,
desisex.site,IndianPornEmpire,embedded_tube,    ,
desitales2.com,IndianPornEmpire,self_or_private_cdn,desitales2.com,
desixclip.me,UnknownNetwork,unknown,,
dinotube.com,UnknownNetwork,api_stream,c1.ttcache.com,
erome.com,UnknownNetwork,unknown,,
fsiblog.run,UnknownNetwork,api_stream,www.fsiblog.run,
hdpornfree.xxx,UnknownNetwork,direct_cdn,aucdn.net,
hdtubefucking.com,UnknownNetwork,unknown,,
hotindiansexy.com,UnknownNetwork,embedded_player,.,
ijavhd.com,UnknownNetwork,external_cdn,ijavhd.com,
indianhomevideo.net,UnknownNetwork,unknown,,
